OBSERVATION COUNT,LATITUDE,LONGITUDE,OBSERVATION DATE
1,47.7292207,-122.1133565,5/10/16
1,47.7292207,-122.1133565,5/10/16
2,47.523852,-121.7963326,6/13/16
4,47.5416862,-121.8378156,6/22/16
35,47.5597558,-122.0549817,6/24/16
8,47.662576,-122.12052,6/9/16
8,47.662576,-122.12052,6/9/16
8,47.662576,-122.12052,6/9/16
8,47.662576,-122.12052,6/9/16
2,47.2837998,-122.1314049,6/22/16
1,47.4253436,-121.4216495,6/22/16
40,47.7617001,-122.2682297,6/15/16
3,47.6815336,-122.2505453,6/14/16
5,47.6815336,-122.2505453,6/14/16
35,47.5597558,-122.0549817,6/24/16
12,47.6061503,-122.1948836,6/15/16
35,47.5597558,-122.0549817,6/24/16
4,47.5416862,-121.8378156,6/22/16
35,47.5597558,-122.0549817,6/24/16
35,47.5597558,-122.0549817,6/24/16
35,47.5597558,-122.0549817,6/24/16
35,47.5597558,-122.0549817,6/24/16
35,47.5597558,-122.0549817,6/24/16
7,47.7635752,-122.3851633,6/15/16
2,47.737632,-121.958463,6/16/16
35,47.5597558,-122.0549817,6/24/16
8,47.6815336,-122.2505453,6/25/16
35,47.5597558,-122.0549817,6/24/16
1,47.523852,-121.7963326,6/8/16
8,47.47029,-121.74207,6/17/16
5,47.662576,-122.12052,6/16/16
6,47.662576,-122.12052,6/9/16
3,47.662576,-122.12052,6/18/16
3,47.5007162,-122.2146012,6/15/16
4,47.662576,-122.12052,6/26/16
4,47.662576,-122.12052,6/9/16
1,47.6815336,-122.2505453,6/18/16
3,47.662576,-122.12052,6/19/16
10,47.1601251,-121.905992,6/18/16
3,47.7565344,-122.2212031,6/18/16
6,47.5416862,-121.8378156,6/28/16
6,47.5416862,-121.8378156,6/28/16
12,47.662576,-122.12052,6/16/16
2,47.6262653,-121.9228685,6/29/16
2,47.662576,-122.12052,6/30/16
12,47.662576,-122.12052,6/16/16
2,47.737632,-121.958463,6/20/16
2,47.5416862,-121.8378156,6/20/16
1,47.662576,-122.12052,6/30/16
1,47.663868,-122.4215317,6/12/16
4,47.6701559,-122.1102905,7/30/16
2,47.5645542,-122.0550401,7/2/16
1,47.6881,-122.256142,7/11/16
4,47.6701559,-122.1102905,7/30/16
5,47.663868,-122.4215317,7/3/16
2,47.4548197,-121.4393306,7/23/16
1,47.6804719,-122.250967,7/5/16
3,47.5597558,-122.0549817,7/5/16
2,47.5429207,-121.8375518,7/3/16
2,47.5429207,-121.8375518,7/3/16
